gbifID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship
1438492577,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,,,GENUS,"Pontoscolex Schmarda, 1861",Pontoscolex,
1438492576,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492575,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492574,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492573,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492572,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,,,GENUS,"Pontoscolex Schmarda, 1861",Pontoscolex,
1438492571,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492570,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,,,GENUS,"Pontoscolex Schmarda, 1861",Pontoscolex,
1438492569,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492568,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492567,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492566,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,,,GENUS,"Pontoscolex Schmarda, 1861",Pontoscolex,
1438492565,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492564,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492563,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492562,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492561,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492560,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492559,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,,,GENUS,"Pontoscolex Schmarda, 1861",Pontoscolex,
1438492558,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492557,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492556,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492555,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492554,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492553,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492552,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,,,GENUS,"Pontoscolex Schmarda, 1861",Pontoscolex,
1438492551,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492550,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,,,GENUS,"Pontoscolex Schmarda, 1861",Pontoscolex,
1438492549,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492548,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492547,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492546,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492545,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492544,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492543,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492542,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492541,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492540,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492539,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492538,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492537,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492536,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492535,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492534,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492533,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492532,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492531,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492530,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492529,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,,,GENUS,"Pontoscolex Schmarda, 1861",Pontoscolex,
1438492528,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492527,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492526,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492525,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492524,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492523,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492522,incertae sedis,,,,,,,,KINGDOM,incertae sedis,,
1438492521,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492520,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492519,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492518,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492517,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492516,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492515,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492514,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492513,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492512,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492511,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492510,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492509,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492508,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492507,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492506,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492505,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492504,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492503,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492502,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492501,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492500,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492499,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492498,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492497,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492496,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492495,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492494,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492493,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492492,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492491,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492490,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492489,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492488,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492487,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492486,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492485,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492484,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492483,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492482,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492481,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492480,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492479,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492478,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492477,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492476,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492475,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492474,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492473,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492472,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
1438492471,Animalia,Annelida,Clitellata,Crassiclitellata,Rhinodrilidae,Pontoscolex,Pontoscolex corethrurus,,SPECIES,"Pontoscolex corethrurus (Muller, 1856)",Pontoscolex corethrurus,
